Symbol,Trade Date,Purchase Price,Quantity,Commission
IREN,20241127,11.95,78,1.003744
MARA,20241127,26.54,32,1.001536
WDAY,20241127,246.45,11,1.000792
TJX,20241127,127.8,45,1.00324
DELL,20241127,125.35,16,1.000768
RKLB,20241127,26.58,42,1.002016
SMR,20241127,27.65,28,1.001344
HUT,20241127,26.62,34,1.001632
