Symbol,Trade Date,Purchase Price,Quantity,Commission
SMR,20241129,31.69,29,1.001392
U,20241129,24.18,75,1.0036
IONQ,20241129,36.12,24,1.001152
MARA,20241129,29.42,32,1.001536
MRVL,20241129,92.97,32,1.001536
RKLB,20241129,27.94,40,1.00192
LUNR,20241129,16.34,50,1.0024
APP,20241129,341.24,4,1.000192
LMND,20241129,52.29,23,1.001104
MSFT,20241129,422.31,12,1.000576
